Species,Status,Length,Mass,Range,Migr,Insect,Diet,Clutch,Broods,Wood,Upland,Water,Release,Indiv
Cyg_olor,1,1520,9600,1.21,1,12,2,6,1,0,0,1,6,29
Cyg_atra,1,1250,5000,0.56,1,0,1,6,1,0,0,1,10,85
Cer_nova,1,870,3360,0.07,1,0,1,4,1,0,0,1,3,8
Ans_caer,0,720,2517,1.1,3,12,2,3.8,1,0,0,1,1,10
Ans_anse,0,820,3170,3.45,3,0,1,5.9,1,0,0,1,2,7
Bra_cana,1,770,4390,2.96,2,0,1,5.9,1,0,0,1,10,60
Bra_sand,0,50,1930,0.01,1,0,1,4,2,0,0,0,1,2
Alo_aegy,0,680,2040,2.71,1,NA,2,8.5,1,0,0,1,1,8
Ana_plat,1,570,1020,9.01,2,6,2,12.6,1,0,0,1,17,1539
Ana_acut,0,580,910,7.9,3,6,2,8.3,1,0,0,1,3,102
Ana_pene,0,480,590,4.33,3,0,1,8.7,1,0,0,1,5,32
Aix_spon,0,470,539,1.04,3,12,2,13.5,2,1,0,1,5,10
Ayt_feri,0,450,940,2.17,3,12,2,9.5,1,0,0,1,3,9
Ayt_fuli,0,435,684,4.81,3,12,2,10.1,1,0,0,1,2,5
Ore_pict,0,275,230,0.31,1,3,1,9.5,1,1,1,0,9,398
Lop_cali,1,256,162,0.24,1,3,1,14.2,2,0,0,0,15,1420
Col_virg,1,230,170,0.77,1,3,1,13.7,1,0,0,0,17,1156
Ale_grae,1,330,501,2.23,1,3,1,15.5,1,0,1,0,15,362
Ale_rufa,0,330,439,0.22,1,3,2,11.2,2,0,0,0,2,20
Per_perd,0,300,386,2.4,1,3,1,14.6,1,0,1,0,24,676
Cot_pect,0,182,95,0.33,3,NA,2,7.5,1,0,0,0,3,NA
Cot_aust,1,180,95,0.69,2,12,2,11,1,0,0,1,11,601
Lop_nyct,0,800,1150,0.28,1,12,2,5,1,1,1,0,4,6
Pha_colc,1,710,850,1.25,1,12,2,11.8,1,1,0,0,27,244
Syr_reev,0,750,949,0.2,1,12,2,9.5,1,1,1,0,2,9
Tet_tetr,0,470,900,4.17,1,3,1,7.9,1,1,1,0,2,13
Lag_lago,0,390,517,7.29,1,0,1,7.5,1,1,1,0,2,4
Ped_phas,0,440,815,1.83,1,3,1,12.3,1,1,0,0,1,22
Tym_cupi,0,435,770,0.26,1,4,1,12,1,0,0,0,3,57
Van_vane,0,300,226,3.93,2,12,3,3.8,1,0,0,0,8,124
Plu_squa,0,285,318,1.67,3,12,3,4,1,0,0,1,2,3
Pte_alch,0,350,225,1.21,2,0,1,2.5,2,0,0,0,1,8
Pha_chal,0,320,350,0.6,1,12,2,2,2,1,0,0,8,42
Ocy_loph,0,330,205,0.76,1,0,1,2,7,1,0,1,4,23
Leu_mela,0,372,NA,0.07,1,12,2,2,1,1,0,0,6,34
Ath_noct,1,220,176,4.84,1,12,3,3.6,1,1,0,0,7,221
Tyt_alba,0,340,298,8.9,2,0,3,5.7,2,1,0,0,1,7
Dac_nova,1,460,382,0.34,1,12,3,2,1,1,0,0,7,21
Lul_arbo,0,150,32.1,1.78,2,4,2,3.9,2,1,0,0,1,5
Ala_arve,1,185,38.9,5.19,2,12,2,3.7,3,0,0,0,11,391
Pru_modu,1,145,20.5,1.95,2,12,2,3.4,2,1,0,0,14,245
Eri_rebe,0,140,15.8,2.31,2,12,2,5,2,1,0,0,11,123
Lus_mega,0,161,19.4,1.88,3,12,2,4.7,2,1,0,0,4,7
Tur_meru,1,255,82.6,3.3,2,12,2,3.8,3,1,0,0,16,596
Tur_phil,1,230,67.3,4.84,2,12,2,4.7,2,1,0,0,12,343
Syl_comm,0,140,12.8,3.39,3,12,2,4.6,2,1,0,0,1,2
Syl_atri,0,142,17.5,2.43,2,5,2,4.6,1,1,0,0,1,5
Man_mela,0,180,NA,0.04,1,12,3,1.9,5,1,0,0,1,2
Man_mela,0,265,59,0.25,1,12,2,2.6,NA,1,0,0,1,80
Gra_cyan,0,275,128,0.83,1,12,3,3,2,1,0,1,1,NA
Gym_tibi,1,400,380,0.82,1,12,3,4,1,1,0,0,15,448
Cor_mone,0,335,203,3.4,2,12,2,4.5,1,1,0,0,2,3
Cor_frug,1,400,425,3.73,1,12,2,3.6,1,1,0,0,10,182
Stu_vulg,1,222,79.8,3.33,2,6,2,4.8,2,1,0,0,14,653
Acr_tris,1,230,111.3,0.56,1,12,2,3.7,1,1,0,0,5,88
Pas_dome,1,149,28.8,6.5,1,6,2,3.9,3,1,0,0,12,416
Pas_mont,0,133,22,6.8,1,6,2,4.7,3,1,0,0,3,14
Aeg_temp,0,120,NA,0.17,1,6,2,4.7,3,1,0,0,3,14
Emb_gutt,0,120,19,0.15,1,4,1,5,3,0,0,0,4,112
Poe_gutt,0,100,12.4,0.75,1,4,1,4.7,3,0,0,0,1,12
Lon_punc,0,110,13.5,1.06,1,0,1,5,3,0,0,0,1,8
Lon_cast,0,100,NA,0.13,1,4,1,5,NA,0,0,1,4,45
Pad_oryz,0,160,NA,0.09,1,0,1,5,NA,0,0,0,2,6
Fri_coel,1,160,23.5,2.61,2,12,2,4.9,2,1,0,0,17,449
Fri_mont,0,146,21.4,3.09,3,10,2,6,NA,1,0,0,7,121
Car_chlo,1,147,29,2.09,2,7,2,4.8,2,1,0,0,6,65
Car_spin,0,117,12,2.09,3,3,1,4,2,1,0,0,3,54
Car_card,1,120,15.5,2.85,2,4,1,4.4,3,1,0,0,14,626
Aca_flam,1,115,11.5,5.54,2,6,1,5,2,1,0,0,10,607
Aca_flavi,0,133,17,1.67,2,0,1,5,3,0,1,0,3,61
Aca_cann,0,136,18.5,2.52,2,6,1,4.7,2,1,0,0,12,209
Pyr_pyrr,0,142,23.5,3.57,1,4,1,4,3,1,0,0,2,NA
Emb_citr,1,160,28.2,4.11,2,8,2,3.3,3,1,0,0,14,656
Emb_hort,0,163,21.6,2.75,3,12,2,5,1,0,0,0,1,6
Emb_cirl,1,160,23.6,0.62,1,12,2,3.5,2,1,0,0,3,29
Emb_scho,0,150,20.7,5.42,1,12,2,5.1,2,0,0,1,2,9
Pir_rubr,0,170,31,0.55,3,12,2,4,NA,1,0,0,1,2
Age_phoe,0,210,36.9,2,2,8,2,3.7,1,0,0,1,1,2
Stu_negl,0,225,106.5,1.2,2,12,2,4.8,2,0,0,0,1,2
